Outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKPRN,Institution,MainPanel,uoaId,UnitOfAssessment,msubId,MultipleSubmission,JointSubmission,OutputTypeId,Title,Place,Publisher,VolumeTitle,Volume,Issue,FirstPage,ArticleNumber,ISBN,ISSN,DOI,PatentNumber,Year,URL,NumberOfAdditionalAuthors,IsForeignLanguageOutput,IsInterdisciplinary,ProposeDoubleWeighting,ResearchGroup,CitationsApplicable,CitedByCount,CrossReferToUoa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution code (UKPRN),Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,DOI,Patent number,Year,URL,Number of additional authors,Non-english,Interdisciplinary,Proposed double-weighted,Research group,Citations applicable,Citation count,Cross- referral requested
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Dynamics of gravity–capillary solitary waves in deep water,,,Journal of Fluid Mechanics,708,,480,,,0022-1120,10.1017/jfm.2012.320,,2012,http://dx.doi.org/10.1017/jfm.2012.320,1,,,,Continuum mechanics,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Estimating exposure response functions using ambient pollution concentrations,,,Annals of Applied Statistics,2,4,1249,,,1932-6157,10.1214/08-AOAS177,,2008,http://dx.doi.org/10.1214/08-AOAS177,3,,,,Statistics,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Exact and asymptotic n-tuple laws at first and last passage,,,Annals of Applied Probability,20,2,522,,,1050-5164,10.1214/09-aap626,,2010,http://dx.doi.org/10.1214/09-aap626,2,,,,Probability,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Existence of dynamic phase transitions in a one-dimensional lattice model with piecewise quadratic interaction potential,,,SIAM Journal on Mathematical Analysis (SIMA),41,3,1231,,,0036-1410,10.1137/070711116,,2009,http://dx.doi.org/10.1137/070711116,1,,,,Analysis & Differential equations,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Existence of subsonic heteroclinic waves for the Frenkel-Kontorova model with piecewise quadratic on-site potential,,,Nonlinearity,24,4,1137,,,0951-7715,10.1088/0951-7715/24/4/007,,2011,http://dx.doi.org/10.1088/0951-7715/24/4/007,1,,,,Analysis & Differential equations,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Fast stable restricted maximum likelihood and marginal likelihood estimation of semiparametric generalized linear models,,,"Journal of the Royal Statistical Society, Series B (Statistical Methodology)",73,1,3,,,1369-7412,10.1111/j.1467-9868.2010.00749.x,,2011,http://dx.doi.org/10.1111/j.1467-9868.2010.00749.x,0,,,,Statistics,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Filon--Clenshaw--Curtis rules for highly oscillatory integrals with algebraic singularities and stationary points,,,SIAM Journal on Numerical Analysis (SINUM),51,3,1542,,,0036-1429,10.1137/120884146,,2013,http://dx.doi.org/10.1137/120884146,2,,,,Numerical analysis,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Finite element error analysis of elliptic PDEs with random coefficients and its application to multilevel Monte Carlo methods,,,SIAM Journal on Numerical Analysis (SINUM),51,1,322,,,0036-1429,10.1137/110853054,,2013,http://www.maths.bath.ac.uk/~masrs/CharScheTeck2011_preprint.pdf,2,,,,Numerical analysis,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Finite-rank ADI iteration for operator Lyapunov equations,,,SIAM Journal on Control and Optimization (SICON),51,5,4084,,,0363-0129,10.1137/120885310,,2013,http://dx.doi.org/10.1137/120885310,2,,,,Mathematical control theory,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Fluctuation theory and exit systems for positiveself-similar Markov processes,,,Annals of Probability,40,1,245,,,0091-1798,10.1214/10-AOP612,,2012,http://dx.doi.org/10.1214/10-AOP612,3,,,,Probability,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,From a large-deviations principle to the Wasserstein gradient flow: a new micro-macro passage,,,Communications in Mathematical Physics,307,3,791,,,0010-3616,10.1007/s00220-011-1328-4,,2011,http://dx.doi.org/10.1007/s00220-011-1328-4,3,,,,Analysis & Differential equations,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Frost heave in colloidal soils,,,SIAM Journal on Applied Mathematics,71,5,1717,,,0036-1399,10.1137/100788197,,2011,http://dx.doi.org/10.1137/100788197,3,,,,Continuum mechanics,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Gaussian limits for generalized spacings,,,Annals of Applied Probability,19,1,158,,,1050-5164,10.1214/08-aap537,,2009,http://projecteuclid.org/euclid.aoap/1235140336,2,,,,Probability,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,GENERIC formalism of a Vlasov-Fokker-Planck equation and connection to large-deviation principles,,,Nonlinearity,26,11,,2951,,0951-7715,10.1088/0951-7715/26/11/2951,,2013,http://dx.doi.org/10.1088/0951-7715/26/11/2951,2,,,,Dynamical systems & complexity,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Geoadditive Bayesian models for forestry defoliation data: a case study,,,Environmetrics,19,6,630,,,1180-4009,10.1002/env.903,,2008,http://dx.doi.org/10.1002/env.903,2,,,,Statistics,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Ginzburg–Landau vortices driven by the Landau–Lifshitz–Gilbert equation,,,Archive for Rational Mechanics and Analysis,199,3,843,,,0003-9527,10.1007/s00205-010-0356-0,,2011,http://dx.doi.org/10.1007/s00205-010-0356-0,3,,,,Analysis & Differential equations,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Global-in-time weak measure solutions and finite-time aggregation for nonlocal interaction equations,,,Duke Mathematical Journal,156,2,229,,,0012-7094,10.1215/00127094-2010-211,,2011,http://dx.doi.org/10.1215/00127094-2010-211,4,,,,Analysis & Differential equations,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Group sequential tests for delayed responses (with discussion),,,"Journal of the Royal Statistical Society, Series B (Statistical Methodology)",75,1,3,,,1369-7412,10.1111/j.1467-9868.2012.01030.x,,2013,http://dx.doi.org/10.1111/j.1467-9868.2012.01030.x,1,,,,Statistics,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Hitting distributions of ?-stable processes via path censoring and self-similarity,,,Annals of Probability,n/a,n/a,n/a,,,0091-1798,,,2013,http://www.imstat.org/aop/future_papers.htm,2,,,,Probability,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Hydroelastic solitary waves in deep water,,,Journal of Fluid Mechanics,679,,628,,,0022-1120,10.1017/jfm.2011.163,,2011,http://dx.doi.org/10.1017/jfm.2011.163,2,,,,Continuum mechanics,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,"In order to make spatial statistics computationally feasible, we need to forget about the covariance function",,,Environmetrics,23,1,65,,,1180-4009,10.1002/env.1137,,2012,http://dx.doi.org/10.1002/env.1137,2,,,,Statistics,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Incomplete self-similar blow-up in a semilinear fourth-order reaction-diffusion equation,,,Studies in Applied Mathematics,124,4,347,,,0022-2526,10.1111/j.1467-9590.2009.00474.x,,2010,http://dx.doi.org/10.1111/j.1467-9590.2009.00474.x,0,,,,Analysis & Differential equations,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Indecomposable representations for real roots of a wild quiver,,,Journal of Algebra,319,6,2271,,,0021-8693,10.1016/j.jalgebra.2007.09.002,,2008,http://dx.doi.org/10.1016/j.jalgebra.2007.09.002,1,,,,Algebra & Geometry,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Inexact inverse subspace iteration with preconditioning applied to non-Hermitian eigenvalue problems,,,SIAM Journal On Matrix Analysis and Applications (SIMAX),31,1,92,,,0895-4798,10.1137/060673795,,2009,http://dx.doi.org/10.1137/060673795,2,,,,Numerical analysis,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Input-to-state stability of differential inclusions with applications to hysteretic and quantized feedback systems,,,SIAM Journal on Control and Optimization (SICON),48,2,1031,,,0363-0129,10.1137/070711323,,2009,http://dx.doi.org/10.1137/070711323,2,,,,Mathematical control theory,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Inverse iteration for purely imaginary eigenvalues with application to the detection of Hopf bifurcations in large-scale problems,,,SIAM Journal On Matrix Analysis and Applications (SIMAX),31,4,1982,,,0895-4798,10.1137/080742890,,2010,http://dx.doi.org/10.1137/080742890,1,,,,Numerical analysis,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Isothermic submanifolds of symmetric R-spaces,,,Journal Fur Die Reine Und Angewandte Mathematik,2011,660,191,,,0075-4102,10.1515/CRELLE.2011.075,,2011,http://dx.doi.org/10.1515/CRELLE.2011.075,3,,,,Algebra & Geometry,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Kinetic relations for a lattice model of phase transitions,,,Archive for Rational Mechanics and Analysis,206,2,707,,,0003-9527,10.1007/s00205-012-0566-8,,2012,http://dx.doi.org/10.1007/s00205-012-0566-8,1,,,,Continuum mechanics,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Landau–de Gennes theory of nematic liquid crystals: the Oseen–Frank limit and beyond,,,Archive for Rational Mechanics and Analysis,196,1,227,,,0003-9527,10.1007/s00205-009-0249-2,,2010,http://dx.doi.org/10.1007/s00205-009-0249-2,1,,,,Continuum mechanics,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Localized pattern formation with a large-scale mode: slanted snaking,,,SIAM Journal on Applied Dynamical Systems,7,1,186,,,1536-0040,10.1137/06067794X,,2008,http://dx.doi.org/10.1137/06067794X,0,,,,Dynamical systems & complexity,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Localized states in an extended Swift–Hohenberg equation,,,SIAM Journal on Applied Dynamical Systems,11,1,261,,,1536-0040,10.1137/110843976,,2012,http://dx.doi.org/10.1137/110843976,1,,,,Dynamical systems & complexity,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Lyapunov inverse iteration for identifying Hopf bifurcations in models of incompressible flow,,,SIAM Journal on Scientific Computing,34,3,A1584,,,1064-8275,10.1137/110827600,,2012,http://dx.doi.org/10.1137/110827600,3,,,,Numerical analysis,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Man bites mosquito: understanding the contribution of human movement to vector-borne disease dynamics,,,PLoS ONE,4,8,,e6763,,1932-6203,10.1371/journal.pone.0006763,,2009,http://dx.doi.org/10.1371/journal.pone.0006763,1,,,,Mathematical biology,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,"Mobile geometric graphs : detection, coverage and percolation",,,Probability Theory and Related Fields,156,1-2,273,,,0178-8051,10.1007/s00440-012-0428-1,,2013,http://dx.doi.org/10.1007/s00440-012-0428-1,3,,,,Probability,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Modeling non-stationary processes through dimension expansion,,,Journal of the American Statistical Association,107,497,281,,,0162-1459,10.1080/01621459.2011.646919,,2012,http://dx.doi.org/10.1080/01621459.2011.646919,2,,,,Statistics,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Modeling spatiotemporal forest health monitoring data,,,Journal of the American Statistical Association,104,487,899,,,0162-1459,10.1198/jasa.2009.ap07058,,2009,http://dx.doi.org/10.1198/jasa.2009.ap07058,5,,,,Statistics,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Modelling formation of a drug reservoir in the stratum corneum and its impact on drug monitoring using reverse iontophoresis,,,Computational and Mathematical Methods in Medicine,11,4,353,,,1748-670X,10.1155/2010/284230,,2010,http://dx.doi.org/10.1155/2010/284230,2,,,,Mathematical biology,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Modelling orientation trajectories,,,Statistical Modelling,9,1,51,,,1471-082X,10.1177/1471082X0800900104,,2009,http://dx.doi.org/10.1177/1471082X0800900104,1,,,,Statistics,,,
