Outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKPRN,Institution,MainPanel,uoaId,UnitOfAssessment,msubId,MultipleSubmission,JointSubmission,OutputTypeId,Title,Place,Publisher,VolumeTitle,Volume,Issue,FirstPage,ArticleNumber,ISBN,ISSN,DOI,PatentNumber,Year,URL,NumberOfAdditionalAuthors,IsForeignLanguageOutput,IsInterdisciplinary,ProposeDoubleWeighting,ResearchGroup,CitationsApplicable,CitedByCount,CrossReferToUoa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution code (UKPRN),Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,DOI,Patent number,Year,URL,Number of additional authors,Non-english,Interdisciplinary,Proposed double-weighted,Research group,Citations applicable,Citation count,Cross- referral requested
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Monitoring long distance WDM communication lines using a high-loss loopback supervisory system,,,Optics communications,285,10-11,2620,,,0030-4018,10.1016/j.optcom.2012.02.004,,2012,http://www.scopus.com/inward/record.url?partnerID=yv4JPVwI&eid=2-s2.0-84859104259&md5=8ed60ce5b0d3c31dc2419fb7118a4788,1,,,,Adaptive Communications Networks Research Group,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Multiple conduction paths in boron ?-doped diamond structures,,,Applied physics letters,94,5,052107,052107,,0003-6951,10.1063/1.3075860,,2009,http://dx.doi.org/10.1063/1.3075860,6,,,,Nanoscience Research Group,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Multiterminal DC wind farm collection grid internal fault analysis and protection design,,,IEEE transactions on power delivery,25,4,2308,5446298,,0885-8977,10.1109/TPWRD.2010.2044813,,2010,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=5446298,2,,,,Power Engineering and Power Electronics Research Group,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Nanodiamond promotes surfactant-mediated triglyceride removal from a hydrophobic surface at or below room temperature,,,ACS applied materials and interfaces,4,6,3225,,,1944-8244,10.1021/am300560z,,2012,http://pubs.acs.org/doi/abs/10.1021/am300560z,5,,,,Nanoscience Research Group,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Network lifetime maximization with cross-layer design in wireless sensor networks,,,IEEE transactions on wireless communications,7,10,3759,4657322,,1536-1276,10.1109/T-WC.2008.070079,,2008,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=4657322,4,,,,Adaptive Communications Networks Research Group,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Novel complex gratings with third-order group-delay variations for tunable pure dispersion slope compensation,,,Optics express,16,16,12090,,,1094-4087,10.1364/OE.16.012090,,2008,http://www.opticsinfobase.org/oe/abstract.cfm?URI=oe-16-16-12090,3,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Numerical investigation of the impact of reflectors on spectral performance of Raman fibre laser,,,Optics express,18,5,4469,,,1094-4087,10.1364/OE.18.004469,,2010,http://www.opticsinfobase.org/abstract.cfm?URI=oe-18-5-4469,2,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Optical microbubble resonator,,,Optics letters,35,7,898,,,0146-9592,10.1364/OL.35.000898,,2010,http://www.opticsinfobase.org/ol/abstract.cfm?URI=ol-35-7-898,2,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Optical turbulence and spectral condensate in long-fiber lasers,,,Physical review A,80,031804(R),031804,031804,,1050-2947,10.1103/PhysRevA.80.031804,,2009,http://link.aps.org/doi/10.1103/PhysRevA.80.031804,3,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Optically controlled tunable dispersion compensators based on pumped fiber gratings,,,Optics letters,36,15,2937,,,0146-9592,10.1364/OL.36.002937,,2011,http://dx.doi.org/10.1364/OL.36.002937,2,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Performance comparison of OFDM bandwidth request schemes in fixed IEEE 802.16 networks,,,IEEE communications letters,12,4,283,,,1089-7798,10.1109/LCOMM.2008.072124,,2008,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=4489668,2,,,,Adaptive Communications Networks Research Group,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Performance optimisation of the MAC protocol with multiple contention slots in MIMO ad hoc networks,,,IET communications,4,5,562,ICEOCW000004000005000562000001,,1751-8628,10.1049/iet-com.2009.0387,,2010,http://digital-library.theiet.org/getabs/servlet/GetabsServlet?prog=normal&id=ICEOCW000004000005000562000001&idtype=cvips&gifs=yes&ref=no,3,,,,Adaptive Communications Networks Research Group,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Phase discrimination and simultaneous frequency conversion of the orthogonal components of an optical signal by four-wave mixing in an SOA,,,Optics express,19,21,20015,,,1094-4087,10.1364/OE.19.020015,,2011,http://www.opticsinfobase.org/oe/abstract.cfm?URI=oe-19-21-20015,3,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Preparation and electrical properties of graphene nanosheet/Al2O3 composites,,,Carbon,48,6,1743,,,0008-6223,10.1016/j.carbon.2010.01.017,,2010,,7,,,,Nanoscience Research Group,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Processing and rendering of Fourier domain optical coherence tomography images at a line rate over 524 kHz using a graphics processing unit,,,Journal of biomedical optics,16,2,N/A,020505,,1083-3668,10.1117/1.3548153,,2011,http://spiedigitallibrary.org/jbo/resource/1/jbopfo/v16/i2/p020505_s1,2,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Proposal and design of airy-based rocket pulses for invariant propagation in lossy dispersive media,,,Optics letters,37,23,4970,,,0146-9592,10.1364/OL.37.004970,,2012,http://www.opticsinfobase.org/ol/abstract.cfm?URI=ol-37-23-4970,1,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Q-switched induced gain switching of a twotransition cascade laser,,,Optics express,20,12,13123,,,1094-4087,10.1364/OE.20.013123,,2012,http://www.opticsinfobase.org/oe/abstract.cfm?uri=oe-20-12-13123,2,,,,Aston Institute of Photonic Technologies,,,
